batch_name,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost
batch1,1429.0,44.0,1473.0,0.002858,0.000352,0.0032099999999999997
batch2,1089.0,56.0,1145.0,0.002178,0.000448,0.002626
batch3,749.0,46.0,795.0,0.001498,0.000368,0.001866
batch4,1089.0,47.0,1136.0,0.002178,0.000376,0.002554
batch5,1432.0,54.0,1486.0,0.002864,0.000432,0.003296
batch6,1089.0,51.0,1140.0,0.002178,0.000408,0.0025859999999999998
batch7,1442.0,54.0,1496.0,0.002884,0.000432,0.003316
batch8,1089.0,59.0,1148.0,0.002178,0.000472,0.0026499999999999996
batch9,1443.0,55.0,1498.0,0.002886,0.00044,0.003326
batch10,1446.0,58.0,1504.0,0.002892,0.000464,0.003356
batch11,1442.0,57.0,1499.0,0.002884,0.000456,0.00334
batch12,1433.0,63.0,1496.0,0.002866,0.000504,0.00337
batch13,1089.0,47.0,1136.0,0.002178,0.000376,0.002554
batch14,1429.0,55.0,1484.0,0.002858,0.00044,0.0032979999999999997
total_batch,17690.0,746.0,18436.0,0.03538,0.005967999999999999,0.041348
