batch_name,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost
batch1,14491.0,52.0,14543.0,0.00217365,3.12e-05,0.00220485
batch2,25825.0,44.0,25869.0,0.00387375,2.6399999999999998e-05,0.0039001500000000002
batch3,25825.0,58.0,25883.0,0.00387375,3.48e-05,0.00390855
batch4,37176.0,67.0,37243.0,0.0055764,4.02e-05,0.005616599999999999
batch5,25825.0,59.0,25884.0,0.00387375,3.54e-05,0.00390915
batch6,37162.0,55.0,37217.0,0.0055743,3.3e-05,0.0056073
batch7,37159.0,46.0,37205.0,0.005573849999999999,2.76e-05,0.005601449999999999
batch8,37172.0,60.0,37232.0,0.0055758,3.6e-05,0.005611799999999999
batch9,37163.0,60.0,37223.0,0.00557445,3.6e-05,0.0056104499999999995
batch10,25825.0,46.0,25871.0,0.00387375,2.76e-05,0.00390135
batch11,25825.0,52.0,25877.0,0.00387375,3.12e-05,0.00390495
batch12,37159.0,54.0,37213.0,0.005573849999999999,3.2399999999999995e-05,0.005606249999999999
batch13,37172.0,62.0,37234.0,0.0055758,3.72e-05,0.005613
batch14,37173.0,59.0,37232.0,0.00557595,3.54e-05,0.005611349999999999
total_batch,440952.0,774.0,441726.0,0.0661428,0.0004644,0.06660719999999999
